LSOA11CD,total_population,imd_score,imd_decile,income_score,health_score,crime_score
E01001174,1606,22.452,4,0.153,-0.493,0.819
E01001175,1644,30.599,3,0.171,0.334,0.898
E01001176,1953,22.748,4,0.129,-0.476,0.86
E01001177,1654,31.6,3,0.192,0.341,0.555
E01001178,1408,58.173,1,0.419,1.296,0.503
E01001179,1591,20.706,5,0.129,-0.515,0.517
E01001180,1840,27.841,3,0.169,-0.251,0.788
E01001181,2095,42.449,2,0.25,0.595,1.0
E01001182,1391,21.65,4,0.128,-0.244,0.705
E01001183,1780,24.133,4,0.148,-0.389,0.599
E01001184,1309,16.909,6,0.103,-0.327,0.531
E01001185,1648,19.985,5,0.124,-0.141,0.156
E01001186,1828,29.074,3,0.186,0.32,0.213
E01001187,2131,20.607,5,0.124,-0.362,-0.008
E01001188,1965,28.153,3,0.178,-0.008,0.853
E01001189,1236,17.717,5,0.101,-0.397,0.357
E01001190,1596,27.441,3,0.175,0.236,0.239
E01001191,1950,34.93,2,0.219,0.247,0.792
E01001192,1787,27.765,3,0.167,0.168,0.778
E01001193,1766,34.356,2,0.232,0.295,0.068
E01001194,1663,18.25,5,0.111,-0.374,0.763
E01001195,1850,13.986,7,0.085,-0.865,0.284
E01001196,1783,38.041,2,0.245,0.65,0.373
E01001197,1829,22.602,4,0.131,-0.014,0.36
E01001198,1569,14.822,6,0.072,-0.421,0.322
E01001199,1809,22.254,4,0.178,-0.048,-0.122
E01001200,1548,15.981,6,0.085,-0.128,0.332
E01001201,1658,17.646,6,0.112,-0.557,0.237
E01001202,2311,33.786,2,0.207,0.087,1.16
E01001203,1727,32.757,3,0.222,0.394,0.23
E01001204,1540,13.681,7,0.114,-0.596,-0.435
E01001205,1524,31.013,3,0.186,-0.28,0.487
E01001206,1459,42.319,2,0.314,0.033,-0.287
E01001207,1637,16.207,6,0.095,-0.378,0.25
E01001208,1328,11.841,7,0.065,-0.88,0.463
E01001209,1636,7.107,9,0.045,-1.114,-0.166
E01001210,1633,50.708,1,0.348,0.61,-0.066
E01001211,1692,10.395,8,0.08,-0.826,0.097
E01001212,1765,13.453,7,0.079,-0.388,-0.533
E01001213,1933,28.161,3,0.169,-0.054,0.519
E01001214,1791,15.937,6,0.086,-0.537,-0.249
E01001215,1906,30.196,3,0.173,0.285,0.998
E01001216,1643,22.184,4,0.117,-0.258,0.388
E01001217,1511,16.083,6,0.113,-0.509,0.231
E01001218,1909,36.313,2,0.24,0.527,0.253
E01001219,1966,36.023,2,0.243,0.16,-0.222
E01001220,1347,47.749,1,0.325,0.11,0.912
E01001221,2300,24.068,4,0.135,-0.269,1.067
E01001222,2527,21.852,4,0.125,-0.313,0.19
E01001223,1471,11.671,7,0.062,-0.564,-0.453
E01001224,1588,9.146,8,0.045,-0.858,-0.453
E01001225,1702,21.713,4,0.109,-0.499,1.241
E01001226,1448,13.363,7,0.078,-0.225,-0.61
E01001227,1496,10.29,8,0.054,-0.926,-0.428
E01001228,1794,11.398,7,0.076,-0.293,-0.632
E01001229,1499,30.226,3,0.198,0.186,0.483
E01001230,1411,21.257,5,0.112,-0.515,-0.033
E01001231,1859,13.847,7,0.058,-1.213,0.424
E01001232,1459,23.753,4,0.125,-0.178,0.363
E01001233,1355,23.841,4,0.164,-0.12,0.935
E01001234,1408,22.923,4,0.103,-0.411,1.029
E01001235,1629,14.225,7,0.078,-0.501,0.638
E01001236,1493,16.278,6,0.121,-0.409,-0.087
E01001237,1520,17.023,6,0.062,-0.163,0.893
E01001238,3636,24.534,4,0.125,-0.562,-0.211
E01001239,1555,32.662,3,0.206,0.145,-0.021
E01001240,1646,20.451,5,0.133,-0.482,0.177
E01001241,1572,22.203,4,0.123,-0.513,1.275
E01001242,1512,26.914,3,0.15,0.052,0.548
E01001243,2192,25.381,4,0.16,-0.724,0.584
E01001244,2770,28.857,3,0.188,0.003,-0.012
E01001245,2007,15.441,6,0.099,-0.547,0.209
E01001246,1468,32.021,3,0.2,-0.339,0.404
E01001247,2445,21.278,5,0.119,-0.265,0.348
E01001248,1497,17.386,6,0.125,-0.452,0.07
E01001249,2215,41.534,2,0.27,0.573,1.05
E01001250,2046,37.117,2,0.229,0.526,0.625
E01001251,1658,18.709,5,0.117,-0.225,0.16
E01001252,2136,25.654,4,0.165,0.11,0.113
E01001253,1828,15.645,6,0.125,-0.488,-0.514
E01001254,1675,14.588,6,0.102,-0.464,-0.279
E01001255,1591,13.456,7,0.065,-0.632,0.284
E01001257,1907,40.826,2,0.274,0.229,0.46
E01001258,1664,15.858,6,0.099,-0.542,-0.221
E01001259,1460,20.119,5,0.126,-0.327,0.716
E01001260,1912,20.741,5,0.103,-0.192,1.097
E01001261,2244,22.674,4,0.126,-0.676,0.42
E01001262,1586,31.334,3,0.214,-0.039,0.58
E01001263,1612,34.487,2,0.24,0.13,0.392
E01001264,1660,24.398,4,0.14,-0.787,0.188
E01001265,1791,20.568,5,0.095,-0.438,-0.602
E01001266,1849,16.109,6,0.091,-0.675,0.084
E01001267,1992,31.849,3,0.222,-0.019,0.342
E01001268,1720,18.541,5,0.107,0.051,-0.032
E01001269,2049,13.557,7,0.066,-1.355,0.096
E01001270,1682,15.651,6,0.098,-0.691,0.431
E01001271,1932,16.877,6,0.117,-0.864,-0.029
E01001272,1641,19.058,5,0.099,-0.418,0.134
E01001273,1693,9.462,8,0.045,-1.152,0.07
E01001274,1726,8.494,9,0.048,-1.333,-0.668
E01001275,1891,19.035,5,0.091,-0.348,0.549
E01001276,1852,20.56,5,0.128,-0.814,-0.149
E01001277,1969,17.535,6,0.108,-0.84,-0.082
E01001278,1933,23.769,4,0.135,-0.724,0.497
E01001279,1448,7.15,9,0.028,-0.877,-0.431
E01001280,1828,13.686,7,0.079,-0.886,-0.336
E01001281,1592,7.459,9,0.041,-0.929,-0.548
E01001282,1433,35.01,2,0.237,0.234,0.069
E01001283,1492,40.085,2,0.274,0.43,0.682
E01001284,1513,15.752,6,0.076,-0.513,0.801
E01001285,1767,23.184,4,0.154,-0.299,0.146
E01001286,1574,23.532,4,0.149,-0.06,-0.023
E01001287,1470,31.223,3,0.266,-0.334,-0.25
E01001288,1437,16.018,6,0.1,-0.341,-0.173
E01001289,1318,15.526,6,0.095,-0.477,-0.404
E01001290,1919,12.68,7,0.076,-0.554,-0.269
E01001291,1559,19.365,5,0.129,-0.679,0.197
E01001292,1631,13.864,7,0.086,-0.694,-0.033
E01001293,1585,17.362,6,0.113,-0.227,-0.366
E01001294,1885,22.485,4,0.156,-0.198,0.563
E01001295,1767,17.222,6,0.124,-0.416,-0.282
E01001296,1411,22.011,4,0.14,0.029,-0.083
E01001297,1749,23.36,4,0.144,0.147,0.256
E01001298,1862,27.974,3,0.163,0.808,0.264
E01001299,1740,8.007,9,0.052,-1.157,-0.518
E01001300,1635,8.87,8,0.044,-0.908,0.198
E01001301,1703,20.032,5,0.118,0.17,0.784
E01001302,1606,11.697,7,0.059,-0.946,0.608
E01001303,1644,9.914,8,0.051,-1.107,-0.036
E01001304,1618,14.074,7,0.097,-0.365,-0.186
E01001305,1633,7.673,9,0.046,-0.78,-0.384
E01001306,1646,8.308,9,0.056,-0.781,-0.503
E01001307,1913,11.103,8,0.067,-1.218,-0.061
E01001308,2018,11.391,7,0.069,-1.159,0.0
E01001309,1828,15.083,6,0.095,-0.799,0.409
E01001310,1834,18.59,5,0.125,-0.598,-0.021
E01001311,2069,28.942,3,0.204,-0.169,-0.187
E01001312,1865,16.657,6,0.105,-0.799,-0.084
E01001313,1696,13.693,7,0.089,-0.962,-0.107
E01001314,1573,10.954,8,0.063,-1.005,-0.282
E01001315,1448,18.255,5,0.123,-0.712,0.068
E01001316,1553,31.82,3,0.221,0.03,0.268
E01001317,1888,26.465,4,0.165,-0.191,0.196
E01001318,1721,36.013,2,0.247,0.257,0.813
E01001319,1467,18.036,5,0.11,-0.73,-0.401
E01001320,1526,41.628,2,0.276,0.055,0.531
E01001321,2080,26.07,4,0.154,-0.258,0.49
E01001322,1831,23.866,4,0.149,-0.584,0.892
E01001323,1776,23.054,4,0.115,-0.518,1.069
E01001324,1767,33.507,2,0.183,0.111,0.945
E01001325,1739,26.632,3,0.185,-0.084,0.483
E01001326,1783,33.051,3,0.194,-0.188,0.76
E01001327,1833,30.832,3,0.193,-0.102,0.779
E01001328,1800,33.629,2,0.194,0.051,1.006
E01001329,1830,24.129,4,0.175,-0.131,0.54
E01001330,1722,42.882,2,0.274,0.08,0.714
E01001331,1630,37.261,2,0.247,0.366,0.656
E01001332,1499,39.944,2,0.267,0.471,0.367
E01001333,2163,39.653,2,0.241,0.416,1.054
E01001334,1569,41.199,2,0.291,0.275,0.142
E01001335,1771,20.851,5,0.126,-0.262,0.488
E01001336,1603,24.895,4,0.168,-0.165,0.124
E01001337,1534,35.728,2,0.174,0.363,1.298
E01001338,1878,27.178,3,0.139,0.144,-0.019
E01001339,1467,35.644,2,0.238,-0.018,0.074
E01001340,1862,38.035,2,0.212,0.272,0.646
E01001341,1765,12.828,7,0.084,-0.978,-0.484
E01001342,1967,14.813,6,0.088,-0.754,-0.536
E01001343,1477,15.378,6,0.1,-0.955,-0.364
E01001344,2316,18.422,5,0.137,-0.759,-0.539
E01001345,1822,17.505,6,0.12,-0.539,-0.494
E01001346,1844,12.0,7,0.094,-1.175,-0.446
E01001347,1632,18.682,5,0.102,-0.792,-0.019
E01001348,1655,19.431,5,0.143,-0.657,0.271
E01001349,1406,33.598,2,0.176,0.301,1.167
E01001350,1457,16.166,6,0.084,-0.337,0.104
E01001351,1999,28.006,3,0.162,0.131,1.295
E01001352,1548,15.249,6,0.102,-0.934,0.254
E01001353,1542,23.368,4,0.139,-0.059,0.372
E01001354,2029,22.226,4,0.122,0.559,0.721
E01001355,1740,24.463,4,0.148,0.236,0.304
E01001356,1958,45.936,1,0.329,0.398,0.283
E01001357,1600,41.995,2,0.309,0.37,0.748
E01001358,1071,45.789,1,0.321,0.186,0.064
E01001359,2297,24.895,4,0.142,-0.197,0.381
E01001360,2021,29.132,3,0.146,-0.153,1.548
E01001361,2097,34.209,2,0.181,-0.078,1.246
E01001362,2137,29.18,3,0.157,0.102,0.313
E01001363,1779,26.151,4,0.145,-0.249,0.521
E01001364,1678,42.16,2,0.305,0.499,0.497
E01001365,2279,28.015,3,0.153,0.287,-0.139
E01001366,1984,28.541,3,0.169,-0.019,-0.096
E01001367,2133,30.306,3,0.189,-0.308,0.52
E01001368,1797,28.942,3,0.163,-0.041,0.709
E01001369,2007,24.898,4,0.146,-0.314,0.261
E01001370,2029,25.905,4,0.14,-0.202,0.699
E01001371,2326,27.142,3,0.166,-0.214,0.325
E01001372,2005,31.007,3,0.189,-0.061,0.162
E01001373,1789,26.285,4,0.173,-0.004,0.081
E01001374,1862,11.21,8,0.074,-0.584,-0.119
E01001375,1680,5.53,10,0.032,-1.248,0.161
E01001376,1562,23.916,4,0.19,-0.238,-0.063
E01001377,1722,8.237,9,0.042,-1.425,0.072
E01001379,1597,6.511,9,0.038,-0.943,-0.242
E01001380,1831,12.501,7,0.084,-0.793,-0.142
E01001381,1861,18.031,5,0.123,-0.568,-0.196
E01001382,1495,8.388,9,0.029,-0.935,0.202
E01001383,1680,11.57,7,0.071,-0.289,-0.223
E01001384,1669,9.84,8,0.071,-0.785,-0.146
E01001385,1681,8.565,9,0.063,-1.216,0.075
E01001386,1736,9.924,8,0.057,-0.805,-0.1
E01001387,1592,16.451,6,0.074,-0.343,0.06
E01001388,1500,34.821,2,0.205,0.299,1.075
E01001389,1730,21.071,5,0.13,-0.357,0.993
E01001390,2096,10.543,8,0.077,-1.346,-0.038
E01001391,1876,25.639,4,0.135,-0.243,0.423
E01001392,1929,10.702,8,0.066,-1.404,-0.371
E01001393,2180,19.095,5,0.113,-0.294,0.036
E01001394,1806,26.964,3,0.207,-0.543,0.486
E01001395,1659,35.279,2,0.233,-0.301,0.654
E01001396,1532,19.048,5,0.145,-0.823,0.508
E01001397,2239,24.623,4,0.188,-0.921,0.283
E01001398,1375,9.217,8,0.067,-0.813,-0.319
E01001399,1481,11.221,8,0.075,-1.024,0.131
E01001400,1624,10.379,8,0.069,-0.747,-0.501
E01001401,1375,12.406,7,0.077,-1.338,0.29
E01001402,1970,8.991,8,0.07,-1.25,-0.308
E01001403,1711,15.86,6,0.096,-0.761,-0.032
E01001404,1580,19.168,5,0.12,-0.677,0.434
E01001405,1865,12.081,7,0.092,-0.366,-0.435
E01001406,1635,24.464,4,0.151,-0.211,0.369
E01001407,1690,18.518,5,0.108,-0.88,0.711
E01001408,1713,16.678,6,0.108,-0.605,-0.194
E01001409,1995,34.902,2,0.224,-0.266,0.433
E01001410,1684,45.507,1,0.285,0.482,0.189
E01001411,1905,13.411,7,0.103,-0.959,-0.194
E01001412,1784,28.35,3,0.145,-0.754,0.763
E01001413,1633,7.768,9,0.05,-0.848,-0.23
E01001414,1576,42.821,2,0.277,0.188,-0.377
E01001415,1663,15.471,6,0.129,-0.837,0.249
E01001416,1713,7.674,9,0.061,-1.522,-0.6
E01001417,1803,8.251,9,0.033,-1.727,-0.668
E01001418,1738,21.09,5,0.151,-0.338,0.127
E01001419,2103,15.206,6,0.099,-0.988,0.23
E01001420,1660,26.371,4,0.157,-0.061,-0.051
E01001421,1655,26.74,3,0.19,-0.257,-0.172
E01001422,1656,7.863,9,0.024,-2.112,-0.829
E01001423,1990,31.815,3,0.208,-0.456,0.576
E01001424,1246,45.659,1,0.332,0.36,0.76
E01001425,2112,48.205,1,0.298,-0.03,1.579
E01001426,1968,41.035,2,0.246,0.224,1.178
E01001427,1992,42.558,2,0.286,-0.193,0.56
E01001428,1812,38.085,2,0.242,-0.189,0.422
E01001429,2554,46.391,1,0.312,0.353,1.063
E01001430,1914,42.061,2,0.297,-0.239,0.533
E01001431,1796,43.347,2,0.283,-0.126,0.648
E01001432,2070,39.635,2,0.239,-0.051,0.901
E01001433,1908,36.086,2,0.23,-0.099,0.047
E01001434,1610,28.191,3,0.172,-0.361,0.441
E01001435,1500,26.237,4,0.165,-0.55,0.841
E01001436,1907,28.56,3,0.222,-0.427,0.325
E01001437,2579,38.766,2,0.269,0.119,-0.339
E01001438,1678,34.949,2,0.246,-0.242,0.771
E01001439,2239,35.255,2,0.251,-0.443,0.586
E01001440,1678,30.551,3,0.206,-0.525,0.866
E01001441,1654,37.103,2,0.239,-0.173,0.989
E01001442,1814,44.482,1,0.314,0.466,0.256
E01001444,1794,22.75,4,0.137,-0.474,0.323
E01001445,2961,29.846,3,0.208,-0.704,0.181
E01001446,1875,27.924,3,0.188,-0.514,0.147
E01001447,2051,42.79,2,0.302,0.106,0.214
E01001448,1860,30.162,3,0.224,-0.352,0.156
E01001449,1697,29.422,3,0.217,-0.484,0.164
E01001450,2105,21.426,5,0.134,-0.531,0.399
E01001451,1623,16.806,6,0.068,-1.371,1.078
E01001452,1400,11.358,7,0.061,-1.284,-0.166
E01001453,1809,6.185,9,0.032,-1.749,-0.771
E01001454,1710,9.141,8,0.063,-1.282,-0.602
E01001455,1521,11.174,8,0.068,-0.868,-0.711
E01001456,1404,5.686,10,0.052,-1.567,-0.587
E01001457,1668,13.891,7,0.091,-0.634,-1.011
E01001458,1875,40.254,2,0.268,0.021,0.283
E01001459,1750,23.802,4,0.174,-0.908,0.413
E01001460,2005,38.272,2,0.236,-0.148,0.592
E01001461,1842,40.049,2,0.289,-0.2,0.345
E01001462,1429,35.063,2,0.254,-0.663,0.577
E01001463,1664,22.651,4,0.176,-0.57,0.163
E01001464,1357,38.337,2,0.276,0.017,0.167
E01001465,1620,24.442,4,0.151,-0.835,0.193
E01001466,1814,28.341,3,0.203,-0.569,0.249
E01001467,1932,26.454,4,0.185,-0.792,0.106
E01001468,1315,29.819,3,0.136,0.432,0.067
E01001469,1727,23.277,4,0.139,-0.703,-0.538
E01001470,1625,10.556,8,0.078,-1.304,-0.704
E01001471,1905,17.36,6,0.11,-0.866,-0.608
E01001472,1733,13.774,7,0.1,-1.211,-0.654
E01001473,1567,15.973,6,0.122,-0.668,-0.374
E01001474,1908,13.064,7,0.077,-1.217,-0.234
E01001475,1692,7.273,9,0.055,-1.293,-0.886
E01001476,1854,28.029,3,0.205,-0.476,0.324
E01001477,1895,34.984,2,0.221,-0.117,0.385
E01001478,1553,25.908,4,0.145,0.002,0.342
E01001479,1862,33.274,2,0.219,-0.231,0.516
E01001480,1625,30.603,3,0.193,0.028,0.314
E01001481,1709,26.529,4,0.185,-0.324,0.221
E01001482,1940,38.527,2,0.243,-0.253,0.693
E01001483,1251,53.716,1,0.345,0.412,0.688
E01001484,1389,24.503,4,0.149,-0.617,0.579
E01001485,1979,37.13,2,0.231,-0.254,0.893
E01001486,2287,41.507,2,0.294,-0.213,0.315
E01001487,1979,35.047,2,0.226,-0.23,0.411
E01001488,2024,30.484,3,0.21,-0.569,0.57
E01001489,1951,30.915,3,0.188,-0.37,0.541
E01001491,2055,32.824,3,0.215,-0.264,0.473
E01001492,2093,32.044,3,0.212,-0.445,0.761
E01001493,1902,29.242,3,0.178,-0.097,-0.38
E01001494,1525,15.474,6,0.116,-0.724,-0.377
E01001495,1910,12.544,7,0.079,-1.004,0.095
E01001496,1726,14.271,6,0.101,-0.875,-0.147
E01001497,1476,23.466,4,0.177,-0.698,0.43
E01001498,2036,17.405,6,0.12,-0.743,0.196
E01001499,1550,24.023,4,0.171,-0.281,0.23
E01001500,1601,19.827,5,0.12,-0.688,0.67
E01001501,2068,26.291,4,0.166,-0.129,0.579
E01001502,1895,31.213,3,0.202,-0.489,0.64
E01001503,1989,28.155,3,0.204,-0.44,0.466
E01001504,1496,30.29,3,0.185,-0.296,0.5
E01001505,1688,33.573,2,0.232,-0.138,0.435
E01001506,1616,38.67,2,0.265,0.002,0.739
E01001507,2016,40.471,2,0.257,-0.279,0.914
E01001508,2082,31.854,3,0.224,-0.29,0.541
E01001509,1853,34.342,2,0.217,-0.766,0.336
E01001510,1055,47.177,1,0.307,0.505,0.515
E01001511,1799,21.859,4,0.13,-0.484,0.857
E01001512,2136,18.403,5,0.121,-0.845,-0.109
E01001513,1811,33.421,2,0.231,-0.086,0.689
E01001514,1854,21.731,4,0.15,-0.67,-0.13
E01001515,2043,37.118,2,0.25,0.177,-0.032
E01001516,1836,28.911,3,0.187,-0.273,0.046
E01001517,1917,48.739,1,0.334,0.293,0.468
E01001518,1882,22.402,4,0.148,-0.418,0.838
E01001519,2675,13.242,7,0.122,-1.205,-0.578
E01001520,1781,17.439,6,0.118,-0.781,-0.251
E01001521,1889,8.942,8,0.061,-1.309,-0.322
E01001522,2010,14.078,7,0.12,-0.922,-0.466
E01001523,1801,8.803,8,0.065,-1.129,-0.08
E01001524,1669,21.144,5,0.151,-0.56,-0.6
E01001525,1944,16.784,6,0.107,-0.535,0.052
E01001526,1687,10.158,8,0.056,-1.439,-1.061
E01001527,1680,15.807,6,0.096,-0.74,0.324
E01001528,1331,34.923,2,0.229,-0.209,0.34
E01001529,1771,32.233,3,0.223,0.309,0.692
E01001530,1500,20.501,5,0.128,-0.834,0.451
E01001531,1524,8.429,9,0.047,-1.452,-0.401
E01001532,1707,8.506,9,0.056,-1.688,-0.37
E01001533,1474,7.078,9,0.054,-0.96,-0.528
E01001534,1670,11.197,8,0.061,-1.378,0.469
E01001535,1464,14.357,6,0.083,-1.091,0.746
E01001536,1850,18.752,5,0.116,-0.585,0.545
E01001537,1773,11.559,7,0.095,-0.892,-0.552
E01001538,1642,11.124,8,0.063,-1.086,-0.223
E01001539,1659,15.185,6,0.102,-0.657,0.211
E01001540,1807,14.261,6,0.107,-0.599,-0.39
E01001541,1523,9.711,8,0.063,-0.944,-0.429
E01001542,1600,18.608,5,0.139,-0.743,-0.54
E01001543,1599,9.625,8,0.067,-1.005,-0.75
E01001544,1659,9.567,8,0.068,-0.875,-0.669
E01001545,1897,45.483,1,0.31,0.29,0.812
E01001546,1897,27.925,3,0.189,-0.005,-0.199
E01001547,2030,29.152,3,0.194,-0.517,0.672
E01001548,1916,32.093,3,0.227,-0.639,0.553
E01001549,2072,42.876,2,0.3,-0.292,0.597
E01001550,1680,36.024,2,0.248,0.166,0.286
E01001551,1782,42.143,2,0.233,0.051,1.015
E01001552,1845,26.37,4,0.144,-0.729,0.461
E01001553,1772,38.285,2,0.231,-0.107,0.441
E01001554,1941,42.024,2,0.287,-0.089,1.077
E01001555,2039,34.676,2,0.205,-0.509,1.195
E01001556,1691,19.27,5,0.129,-0.783,-0.277
E01001557,1734,30.164,3,0.204,-0.354,0.445
E01001558,1781,39.726,2,0.232,-0.177,1.219
E01001559,2244,41.09,2,0.236,0.051,1.012
E01001560,1671,34.488,2,0.2,-0.351,1.023
E01001562,2231,46.641,1,0.294,0.743,-0.073
E01001563,1728,16.576,6,0.118,-0.726,-0.056
E01001564,1666,10.265,8,0.071,-0.642,-0.123
E01001565,1806,16.271,6,0.119,-0.962,-0.053
E01001566,1686,13.927,7,0.088,-0.431,-0.234
E01001567,1634,6.287,9,0.035,-1.28,-0.824
E01001568,1532,9.832,8,0.046,-1.441,0.202
E01001569,1954,10.386,8,0.074,-1.434,-0.414
E01001570,2014,17.923,5,0.124,-0.576,0.211
E01001571,1793,17.934,5,0.104,-0.022,0.581
E01001572,1827,15.488,6,0.103,-0.594,0.2
E01001573,1619,15.713,6,0.096,-0.437,0.483
E01001574,2089,39.32,2,0.244,0.717,0.678
E01001575,1717,47.53,1,0.328,1.202,0.847
E01001576,1855,39.498,2,0.281,0.656,0.795
E01001577,2085,33.562,2,0.204,0.423,1.047
E01001578,2302,26.804,3,0.19,-0.157,0.737
E01001579,1648,37.671,2,0.258,0.604,0.728
E01001580,1733,10.762,8,0.054,-1.118,0.779
E01001581,1634,20.417,5,0.146,0.012,0.526
E01001582,1490,23.276,4,0.151,-0.238,1.036
